정류소명,no
발안삼거리.바다마트,241
사강시장,77
한국산업인력공단,170
현대아이파크10단지,570
단대오거리역.세이브존,247
KB손해보험인재니움,1076
래미안영통마크원2단지,1275
원대마을.한신아파트,250
원천주공2단지,491
세류1동주민센터,553
수원역,603
견산1리,51
하북삼거리.진위역,552
광교테크노밸리.푸르지오월드마크,854
파크타운.양지마을,649
성복역2번출구,181
주공7.8단지,344
운암주공2.3단지.운천고,829
돌다리.구리전통시장(중),47
양주역,16
양주역,2
금성아파트.한국2차아파트,107
가구단지입구,402
한양아파트후문,42
제일아파트.대호중학교,541
구운동성원아파트.일월먹거리촌,724
힐스테이트영통,41
동남보건대학,775
광교이마트,12
수원대학교,384
원효충무아파트,59
우림그린빌리지,716
내리주유소,3
강남대역.강남대입구,372
정곡경로당,10
광교산,110
동백고.풍림코아루.호수마을서해그랑블,35
태영.대우아파트,803
동화휴먼시아2단지,580
매화마을사거리.장미마을8단지,4
양노3리,70
수촌마을,21
한보라마을입구,75
광교지웰홈스.광교마을40단지,577
SK스카이뷰.SK아트리움,738
동화휴먼시아6단지,255
모란역5번출구,107
레이크사이드골프장,3
유천교,290
화서오거리,316
동원동,124
광교중앙역.광교고등학교,727
한일타운아파트,732
수일중학교,644
금성마을,213
남부시장,135
서호중학교,79
연무동차고지,791
수원지방법원,255
한국에너지공단.여성회관,312
e편한세상,323
중원사거리,692
우남블루존아파트,196
수원월드컵경기장.동성중학교,740
대평중학교,304
광교호반베르디움,465
에일린의뜰,14
수평사거리.우림아파트,2
대림대학,244
센트럴하이츠아파트,175
신갈.기흥중학교.삼익아파트,288
체이스컬트,31
세마중고교,764
대림아파트,285
센트럴힐즈.금강,558
살구골현대아파트.영통역4번출구,218
본오동우체국,82
화서시장,562
정든공원,414
후사1리앞,1
자연앤아너스빌,410
현대그린프라자,749
용인터미널,63
모아미래도.우림필유(중),313
LH65블럭.하우스디더레이크.나래학교,312
KT남수원지사,455
대선초.e편한세상영통2차아파트,268
화서문로터리,484
새마을연수원입구,23
반도.모아아파트,1214
샘내현대아파트,1084
11단지주공아파트,24
경기남부보훈지청.경기도교육청,149
광교중앙.아주대역환승센터,494
로얄팰리스,425
경남아너스빌.동신아파트,1060
정자역,204
황제연립,78
연무시장입구,335
안녕동,267
수성중학교,62
은행시장.남한산성시장.은행동청소년문화의집,711
발안초등학교,501
세류2동.세류역환승주차장,93
상률초교,126
한라.이림아파트,638
그린공원앞,96
까치마을.건영빌라.2001아울렛,119
한양아파트,16
경기도경제과학진흥원,346
경남아너스빌,42
모곡동,2
남양중고교입구,23
세류사거리,594
자이.우남퍼스트빌,237
동탄역(서측),735
동양파라곤,788
호계아크로리버,89
축산물유통센터.수원아이파크4단지,124
동오사거리,129
구운동주민센터.서수원도서관,6
수촌3리,15
동탄초교,132
청록웨딩부페.군포사거리,116
정남도서관,48
UN참전기념공원앞,42
권선사거리.SK뷰아파트,268
상미마을.신갈오거리,464
영일중학교.수원출입국사무소,321
동안구청.달안초등학교,388
당동우체국,33
상현중학교,106
정자청소년수련관.분당클리닉,79
광교역.광교대학로,241
KT동수원지사,1169
신곡동,825
화성초교,127
성원아파트.이지더원,481
죽전초중고교.대현초교,544
수지이스트파크.덕윤프라자,207
파크타운.롯데아파트,669
고림동.삼정그린뷰,2
이마트,286
삼화리,76
안산시흥교회앞,2
안산역(도로변),246
연무동,844
팔달문,1342
신풍초등학교.자연앤자이,353
세류2동,740
칠보쌍용아파트,118
호반베르디움3차,453
황골쌍용아파트,370
세교근린공원,20
이주단지,129
야탑동주민센터.돌마초교.야탑역.뉴코아,656
화서오거리,185
구운동,246
수영오거리.방송통신대입구,565
서동탄역신일해피트리(중),715
덕리,47
왕림휴게소,190
왕림휴게소,34
언창공단,9
역북초등학교.삼환나우빌,58
그린빌주공5단지,736
입북동주민센터,32
하안주공2.9단지,5
주공아파트,450
동성1차아파트.죽전패션타운,388
경기남부보훈지청.경기도교육청,225
가게앞.평동,92
성어공원.시외버스터미널,38
수지고등학교.삼성4차아파트,327
이매촌한신.서현역.AK프라자,46
지월리입구,3
이의초중고교.광교참누리레이크아파트,219
덕절리,385
수지이스트파크.덕윤프라자,335
U-City센터앞,318
꽃메마을2단지,33
이지더원,108
한솔아파트.한림도서관,589
한림대병원(중),1365
부곡1단지아파트후문,4
삼정선비마을,27
을지대학교.생활관,358
오리역,63
동부센트레빌.동일하이빌1차,118
영통구청,569
평동,44
한보라6단지,81
이목동.장안힐스테이트,330
부림중학교,9
신미주아파트,687
관악역,195
능실마을15단지,357
향남읍사무소,309
상현마을현대2차아이파크,638
수지프라자.한국아파트,242
한일마을,427
AK플라자2층,90
대명고등학교,149
가온마을3단지,737
대명고등학교,218
오산대역,159
신리천,156
롯데케슬정문,423
남양읍주민센터,50
오목동태산아파트,83
보라쌍용아파트,41
한미약품,1110
주공7단지.한솔종합사회복지관,665
경기남부보훈지청.경기도교육청,346
루터대학교,67
안양중앙시장.안양고용센터,86
유한양행,825
성남시영생관리사업소,8
도촌단지입구,145
진위면신리,20
대지고등학교.전내교차로,399
내대지마을.힐스테이트,93
역곡역.역곡남부시장,19
청구아파트,288
화서동먹거리촌.꽃뫼노을아파트,182
신창미션힐,562
내삼미동.호반베르디움,134
동천역,150
하안사거리.12단지,7
매탄공원,648
정든마을.우성아파트,269
호매실마을14단지.장애인종합복지관,419
구운사거리.농수산물유통센터,297
오이도중앙로입구,9
장안문,334
융건릉사거리,88
수영오거리.신창아파트입구,111
고등동주민센터,571
임광그대가3단지,304
판교역동편,148
호반베르디움.롯데캐슬,328
이노플랙스,127
신창아파트,435
동천역.배송단지,167
서수원버스터미널,204
삼성아파트,287
두견마을,384
인현마을,5
영통뜨란채아파트,203
오색시장,399
숙지중고교.서호공원,467
야탑2동주민센터.차병원,24
와우농협앞,654
흥덕마을8.10단지앞,479
미사강변8단지.단독주택1단지,1
행복주택,132
구운중학교,853
삼환나우빌아파트,299
구문천공원,17
궐리사앞,182
한라아파트.이림아파트,211
권선아파트,805
대림아파트,307
경기도건설본부.경기도동물위생시험소.칠보마을7단지,74
동원고교.해우재입구,190
고고리마을입구,11
화성중고등학교,33
금호어울림,239
현암마을,47
숭신여자중고교.래미안금광아파트,6
곡반중학교.수원아이파크,155
보정동카페거리.죽현마을,263
수원신학교,4
오산청호아파트,326
주공5단지,175
신일초등학교,1
상록.테크노밸리.GS자이,1100
동화중학교.동화초등학교,118
백현교차로,50
KBS수원센터.LG화재,257
수원농생고.수원북중학교,104
비석거리입구,20
동탄2부영아파트,286
목현2리.낚시터,28
대원터널앞사거리,45
밭말길입구,3
고천동주민센터,662
호수마을.LH휴먼시아,92
수원시평생학습관.연무사회복지관,427
수원월드컵경기장.아름학교,225
진흥.천천푸르지오아파트,951
한일마을,268
동탄2동주민센터,279
안양역,210
구성삼거리,107
기흥역1번출구,56
신갈역.새릉골,48
천지사입구,4
신동아아파트,599
동탄역.포스코,62
기산베스트빌,81
벌터교차로(경유),8
호계종합시장,314
법원검찰청.안양과천교육지원청,121
우남아파트,608
호매실마을13단지.수원시보훈회관,399
이매역,318
루터대학교,92
정부과천청사,23
영천초.계룡,444
삼성반도체후문,1658
고매사거리.고매농협,358
영일중학교.수원출입국사무소,847
산의초등학교.광교삼성래미안,382
조원1동,177
한마음초교.광명메이루즈,236
합동신학대학원,17
용인포은아트홀,694
동일하이빌.화성고용센터,581
박달2동주민센터.한라비발디아파트,53
시외버스터미널.교보생명,47
초입마을.삼익풍림동아아파트,448
상현교차로.현대2차,249
대원사거리,234
동호상가,161
KBS수원센터정문.한화생명,365
수지중학교,431
금암마을3.4.5단지,542
평택여중사거리,32
입북동삼거리,17
늘푸른오스카빌,203
남양사거리,352
롯데백화점.엔씨백화점.범계역.동안경찰서,70
금암마을3.4.5단지,379
병점정형외과(경유),25
안녕농협삼거리,975
진안동,622
남양뉴타운1단지,6
극동아파트,5
영천유.금성백조,320
광교호수공원.스텝파크,71
태장초등학교,878
아발론호텔,98
법원가사과.동수원등기소,555
행림마을.삼성래미안,447
수지중학교,366
기천저수지,7
자목마을입구,33
당수동시민농장,64
서호중학교,200
장지천,102
재래시장.마도삼거리,36
갈천리,40
안산역(도로변),78
탑마을대우아파트.선경아파트,6
신흥역.종합시장,76
매교역2번출구.성원아파트,627
수원중고교.연향아파트,108
야막리,58
남부종합사회복지관,401
이목동입구,177
상지석.대우.진흥아파트,97
제일교회앞,51
임광1.2단지입구,545
화서동먹거리촌.꽃뫼노을아파트,281
수원시보훈회관.호매실마을13단지,150
기흥역,490
효자고개.용인정신병원,43
대대2리.하리,2
부대앞,2
정왕어린이도서관.정왕시장,8
상미마을.신갈오거리,102
꽃메마을.새에덴교회,76
꽃메마을.현대홈타운3단지,43
구운오거리.경기중소기업성장지원센터,598
새강주공휴먼시아,169
나루고등학교,576
이마트,375
이주단지,92
태장면고개,516
평택역.AKPLAZA,183
숲속자연앤,305
경기도박물관,87
근영심포니아파트,59
문화예술회관.고용복지플러스센터,90
창박골,13
안양역,78
칠보입구,10
정자2동주민센터.수성고등학교,233
동탄역.포스코,363
메타폴리스,183
연원마을.LG.벽산아파트,269
향남읍사무소,263
탑동입구.이림아파트,448
모아미래도아파트,153
탑동사거리,737
명성주유소,5
운동장.송담대역,34
운동장.송담대역,24
세류중학교.아세아시멘트,361
성결대학.안양아트센터.명학역,34
경남아너스빌,354
수원농협권선지점,174
수원역환승센터(4승강장),522
그린빌8단지,2
상록수역,670
동화휴먼시아1단지.상봉초등학교,258
대방노블랜드,39
가톨릭대학교,86
하원초등학교,7
동남아파트,26
풍덕천2동주민센터.현대성우아파트,492
사강복지회관,89
소하1동주민센터,8
육교사거리(경유),52
동수원중학교.성일아파트.한국1차아파트,673
코스트코광명점,4
수원KT위즈파크.수원종합운동장,334
이마트.삼성명가.성원아파트,159
관항2리,1
궐리사,107
신백현초등학교,20
경기도립수원의료원.두견마을,228
롯데에코입구,5
한솔초등학교,159
기흥역,427
판교역북편,39
창현고교.아주대학교.유신고교,573
용인시장.시장약국,103
현대아파트,4
황제아파트건너편,36
화서푸르지오,41
구운동주민센터.서수원도서관,450
한화.호반,223
유통단지사거리,125
고진역입구,6
원일초교,284
의왕청계영업소,71
SK아파트,282
매탄공원,267
단대쇼핑,300
엘리시아정문.오산자이후문,467
안양1번가.안양고용센터,61
한국물류센타,247
월드반도,496
대원아파트,49
진안초교,116
매교다리,683
동보아파트,183
중앙공원.샛별마을라이프아파트,184
탑마을주공8단지,149
대선초.e편한세상영통2차아파트,303
민백마을,55
임광아파트,235
화서역.화서2동주민센터,715
조원시장,231
세화새마을금고.버드내도서관,547
수원컨벤션센터.롯데아울렛,266
오전동주민센터,415
관양중학교,40
무궁화태영아파트,348
화성시청후문,36
파장동북부차고지,99
상록수역앞,302
인계선경아파트,796
장안대후문,121
이목동.장안STX칸,537
발안만세시장,56
우만아파트,648
머내기업은행,524
우림필유,36
남부종합사회복지관,257
원대마을,170
청소년수련관,176
모아미래도아파트,264
매화마을2단지,27
삼성반도체후문,2124
용인터미널,103
신일유토빌정문,708
삼성반도체정문,190
천천래미안,36
현대모닝아파트,312
신미주아파트,348
서해그랑블,263
부흥초교.부흥중학교,15
호수마을.자연엔데시앙,25
꽃메마을1단지,158
향남주공1.2단지,10
소화초등학교,229
경남.반도1차,348
세류현대아파트,461
이의초중고교.광교참누리레이크아파트,115
연무중학교.써밋플레이스광교,92
북양산업단지,11
북양1통.염티고개,27
이동교3리.축석초교,1
구장삼거리,47
매송휴먼시아후문,131
천일초교,226
석수골운동장,13
래미안위례.위례고운초등학교앞,9
동수원중학교.성일아파트.한국1차아파트,331
우남퍼스트빌3차아파트,224
LS타워,51
푸른지대,76
덕절리,26
탑골1길,263
공공청사부지,232
하얀마을.구미도서관,191
기흥초등학교,220
통미마을.보라1동,295
세마중고교,758
동탄2휴먼시아4단지,617
동원1차.센트럴상록,271
오산초등학교,354
서천마을1단지,339
군포시평생학습원,17
삼익아파트,442
오산대역,70
버스터미널.신도브래뉴아파트,16
수원고용복지플러스센터.동수원사거리.삼성생명,577
동탄고등학교,243
광교카페거리.대림e편한세상,151
동문아파트.협성대학교.봉담중고교,656
관리입구,21
광교에듀타운입구.아주대.한국자산관리공사,33
우림청설아파트,37
송화초교.양우내안애,147
한성아파트,5
팔달문.이안과,90
백암터미널,27
흥덕마을12단지.도로교통공단경기지부,64
흥덕마을12단지.도로교통공단경기지부,171
한성병원.호계3동주민센터,613
가구단지입구,418
한국에너지공단.여성회관,55
모아미래도.우림필유(중),284
신성미소지움아파트,66
서부경찰서.권선구청입구,346
KT남수원지사,321
롯데오산물류,9
반달마을,21
행신SK뷰아파트,4
안양우편물류센터,93
화서시장,426
목련마을1단지.하탑중학교.중탑동사거리,100
19단지.쌍용예가,119
육일리.육교동입구,6
수원시도시안전통합센터,7
봉가1리,2
수원역환승센터(6승강장),449
권선중학교,187
관양1동주민센터,32
인덕원사거리.인덕원역,198
상현고등학교,191
호매실마을12단지.수원은혜교회,196
금화마을4단지,63
KT과천지사,38
광교마을.린병원,461
벌말초교.한일나래,7
평촌동주민센터.KT동안양지점.인덕원대우아파트,67
황골주공아파트,328
문암골,51
묘적사입구,2
덕소역,4
경기대후문.수원박물관.광교대학로,587
예솔초.호반2차.대원2차,72
전원아파트.한라녹턴아파트,33
이마트.비산사거리,119
한성2차.풍림아파트,20
까치마을건영빌라.구미도서관,233
정든공원.숲속풍성신미주,19
여성회관,8
수포교,1
리베라CC,82
밤꽃사거리,105
칠보쌍용아파트,152
칠보산입구,230
창동연립,20
돌고지,167
중원초교,1
SK뷰2차아파트,173
동문아파트.삼성2차아파트.동부아파트,279
(구)단대동주민센터,114
장안문.느림보타운,269
장암역.석림사입구,2
빅마켓앞,374
동탄초교,110
현대출고장.고인돌,32
유통단지사거리,152
역곡역북부,5
분당구청.중앙공원후문,134
한화꿈에그린,408
정림입구,64
의왕톨게이트,79
가천대,16
흥덕마을1단지앞,629
대방노블랜드.풍림아이원,205
황골주공아파트,235
신장시장.GS마트,2
배탈고개.일신건영아파트,19
성보경영고등학교,37
세곡사거리,138
죽전동성2차아파트,415
현대아이파크,227
신갈.기흥중학교.삼익아파트,300
샛별단지,403
동탄3동주민센터,63
서원말.심곡서원.상현지구대.금호.현대아파트,301
오정동행정복지센터.대명초등학교,3
망포고등학교,105
세권사거리,321
조원뉴타운,186
하얀마을,153
동탄2파출소.농협,246
삼가역.두산위브,11
지식산업센터,3
한솔마을.LG아파트,210
신일아파트,38
가로공원앞,116
동백중학교,90
반도3.금강,112
경기대입구,122
주공8단지,1
아시아자동차,30
시외버스터미널,27
수내동파출소.동국대한방병원,79
금강.센트럴힐즈,94
상탑초등학교,90
풍성신미주,69
부흥고교,7
경기광주역,25
현대모닝아파트,53
동화휴먼시아3.4단지.봉담우체국,148
군포역,109
갈천다리,87
한일초등학교.한보라마을7.9단지,37
현대아이파크,5
마두역(중),19
부곡초등학교,5
영덕중학교,144
능실마을20단지,130
남부경찰서.매원초교.성일아파트,409
솔빛마을상가,468
명지대입구,139
이마트,2
성원아파트.이지더원,184
상우아파트.청소년문화의집,3
역곡역북부,3
수원시청역10번출구.국민연금공단.경인일보,261
한마음초교.광명메이루즈,100
산척리,254
경희대학교,31
석포삼거리,20
한양아파트,370
수원동.쌍용아파트,67
한보라마을입구,118
호수청구아파트,91
청요사거리,7
고잔주공9단지,29
만석공원.만석거삼거리,287
임광그대가3단지,53
공세복합단지.르노삼성자동차중앙연구소,258
수원아이파크3단지,36
한일아파트,4
진사리입구.푸르지오2차후문,12
내삼미동입구,219
동탄국제고등학교,144
기업은행,392
문학1리,27
수원과학대학,73
정남농협,124
산본래미안아파트,22
단대쇼핑,628
신한에스빌아파트,147
도로교통관리사업소,537
곡반중학교.수원아이파크,509
설봉산입구,1
흥덕IT밸리,30
쌍용2차.성원3차.서원초중고,453
조원시장,225
안양여중고,13
쌍송리입구.은장고개,6
수진역.성호시장.성일중고입구,216
매탄권선역.화홍고등학교,97
체육고교.신안아파트,324
오목천주공아파트,128
대방신도아파트,1
KT.주택전시관,243
정조사거리,335
용주사,139
경기글로벌통상고,52
만석공원테니스장,193
영화초등학교,226
송문리,1
정평중학교.공무원아파트.상록아파트6단지,564
유천아파트,4
코스트코광명점,1
금정가구거리,43
동편마을1단지,34
우남퍼스트빌,90
현대아파트.중원도서관,9
광교센트럴타운60단지.힐스테이트레이크,331
벌터마을.래미안영통마크원2단지,455
산들초등학교,1
신곡사거리,243
예당예원초,568
배꽃마을4단지,4
창룡문.연무대,168
서원마을현대홈타운.삼성쉐르빌,189
동백이마트,149
수원지방법원,301
매화마을주공3단지,184
삼성전자중앙문,134
경희대학교,516
경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,262
금정새마을금고,13
현대아이파크,265
호계삼거리,111
영통도서관.영덕중학교,63
IT단지(중),1088
인계삼성래미안,51
탑동아파트,9
신영지웰아파트,107
남수원현대아파트,218
DM디스플레이,128
수원가구거리,204
세원아파트,325
신동아아파트입구,41
의정부초교.신곡동신일아파트,1
반달마을,29
일양약품,25
로컬푸드,19
이마트.비산사거리,384
동보아파트,139
외삼미동,123
화성시청,120
양노리,8
농수산물시장,494
호계중학교.신기사거리,240
상현중학교,105
반정동,32
평촌역,108
따복기숙사.농업유전자원센터,35
위례롯데캐슬.호반베르디움,1
갈뫼중학교.내손1동주민센터,4
하나은행연수원,16
정평중학교(마을),32
장안고등학교,531
무궁화태영아파트,529
한보라마을3.5단지,11
매향동,71
동화초중교,160
광교에듀타운입구.아주대.한국자산관리공사,112
롯데캐슬스카이.백남준아트센터,164
신갈초교.신갈오거리,280
K6정문.캠프험프리,2
상신하길로주택,15
자동차검사소.산성아파트,32
대원터널사거리,619
모란역(광역.시외버스),275
GS아파트.천천푸르지오,95
양지농협,14
한국방송통신대학교,61
고지리,11
한국전력,2
평택역.AKPLAZA,12
평택중학교,4
수지고등학교.삼성4차아파트,330
한성아파트.한국아파트.현대1차아파트,279
수원순복음교회,350
신촌마을아파트,8
죽전동성2차아파트,28
우성아파트,14
서정동여성회관,8
머내기업은행,365
한국잡월드,9
신월초교.상록아파트.주공9단지,260
광교호수공원입구,187
쌍학리,50
미즈파크병원,113
경기도립수원의료원.두견마을,210
죽미마을10단지,206
황곡초등학교.주공아파트,231
향남중고등학교,24
오산대학앞,337
서수원레이크푸르지오1단지,377
동신아파트,222
야탑3동행정복지센터,349
원곡초등학교,34
청명호수마을,265
금광1.2동주민센터.중원어린이도서관,323
은행시장.남한산성시장.은행동청소년문화의집,99
안녕4통,8
태평4동주민센터.금빛초교,22
모란역4번출구,81
신도브래뉴아파트.새마을금고,3
중흥아파트,5
센트럴파크,522
광교상현꿈에그린,350
정남도서관,259
광교해모로아파트,47
서천마을3단지,144
의왕역,99
풍덕천사거리,93
경기도문화의전당.두산위브아파트,186
수촌마을,35
상대원1동주민센터,52
성복역.데이파크,287
동부차고지,40
민속촌,17
세미초등학교,318
명학역,652
효성티앤씨.진영레미콘,28
동오리,105
휴먼시아4단지후문,26
원천주공2단지,308
수원광교박물관.광교카페거리,26
어정역,19
천천푸르지오,39
삼성전자후문,256
쌍용예가.19단지,278
호반베르디움3차,68
공세복합단지.르노삼성자동차중앙연구소,198
조원시장입구,238
금정역,63
무궁화금호아파트,16
중산마을2단지.해태쇼핑.코오롱아파트,3
진위역,188
초당마을.주공아파트,6
현대모닝사이드2차후문,37
흥덕마을2단지앞,44
신리앞,35
금의3리,2
동부지구대.수원시장기요양지원센터.수병원,621
고색차고지(경유),80
흥덕중학교앞,646
경기남부지방경찰청.봉녕사입구,615
우미아파트,601
KT안성지사,1
광교2동주민센터,53
보라마을삼성래미안,34
본오2동주민센터,108
도촌동9단지앞,67
송일초등학교,1
하북차고지,67
정조사거리,134
안정3리,1
장지리농협,1
성남중원경찰서,757
샛별마을.우방아파트,144
나눔초등학교.오뚜기식품.두산벤처다임,95
SK뷰2차아파트,169
계룡.영천초,116
청광아파트,157
동부아파트,60
대원동주민센터,88
한백초중교,98
호계사거리,4
단대오거리역.(구)종점,307
평택역.AKPLAZA,53
평택병원앞,2
향남주공18단지,10
서원마을현대홈타운.삼성쉐르빌,54
정자2동행정복지센터,352
오목초등학교,330
삼환아파트,416
화남아파트,86
포일자이아파트,7
육탄10용사기념공원,36
금광시장,61
농수산물사거리,26
광교상현꿈에그린,211
죽미공원입구,137
우남퍼스트빌3차아파트,183
진흥아파트,484
태안교차로,56
상두1리,4
윗머드내.평화약국,115
AK플라자2층,220
흥덕지구1.2단지앞,228
대주피오레1단지,28
노블카운티,31
동탄홈플러스,151
수원전산여고,192
포브스병원,5
가로공원앞,164
웅비아파트,93
청현마을입구,82
관리고개,41
주공아파트,164
중원구청,2
고산1리.허산리,3
신남3통.서부경찰서,13
청덕아람공원.88CC,13
개나리아파트,13
서천마을2단지,116
야탑동주민센터.돌마초교.야탑역.뉴코아,393
상미마을.신갈오거리,102
아데나펠리스,116
수원아이파크4단지,55
중앙공원,98
단국대정문,169
쌍용상록아파트,212
조원고등학교,169
호매실GS아파트,613
양산제일교회,73
양지성당,4
광교센트럴타운60단지.힐스테이트레이크,579
공군부대입구,3
스타프라자,214
서동탄역,89
신리초교,104
원평,102
신리고,89
안양감리교회,19
평성교회.호정타워,53
원곡동행정복지센터,112
나곡마을.한국민속촌,15
의왕역,24
법화터널입구,70
경기소방본부,205
관양1동주민센터,26
한화생명,35
매송초등학교,140
유엔아이,208
홈플러스서수원점,185
빼골,163
산본고가도로,39
만안경찰서,1
태영아파트,27
고잔주공2단지,5
광덕시장,5
중앙주공2단지,222
상원초교.성남중앙병원.양지동청소년문화의집,116
성균관대역.고용노동부경기지청.율전성당,154
신흥역.종합시장,204
양현마을.풍림아파트,131
양현마을.풍림아파트,136
양지마을,22
하길중학교,12
권선상록아파트,87
청솔마을.주공9단지.동아아파트,212
서정동여성회관,18
안석2통,33
수원센트럴타운3단지.세류동성당,202
화승타운,21
늘푸른오스카빌,142
롯데시네마,565
권선구청.경기종합노동복지회관,25
용인터미널.컬리넌호텔,12
영통차고지(경유),8
농업유전자원센터.따복기숙사,242
을지대학교,201
자유센터,174
수원센트럴타운1.2단지,127
오산장례식장,93
중앙주공1단지,33
주공2.뜨란채4단지.소안초등학교,4
경안동주민센터.우체국앞,10
금정초등학교,27
송림고등학교.이매촌청구아파트.동신아파트,135
봇들마을7단지,12
오산대학,146
필봉초교.11.12단지,344
정우아파트,15
수지구청.수지우체국.롯데마트,28
농업기술센터.진흥아파트.동신아파트.이매동주민센터,396
대우아파트.양명고교,148
송림고교.이매촌성지아파트.청구아파트,186
광교센트럴타운62단지.힐스테이트레이크,92
신도브레뉴아파트,193
가재3리입구.가재4리,30
부처내,263
충훈1교,7
관악역,94
엠코타운플로리체,15
위례센트럴푸르지오.위례푸른초등학교,4
대지고등학교.전내교차로,36
신일아파트,46
삼성휴먼센터,38
주공1.2단지,243
삼성마을1단지아파트,17
구운사거리,19
호수청구아파트,190
민속촌입구,184
금화마을3단지,38
평택지제역,62
돌마고교,92
신백현중학교.단독택지,36
가게앞.평동,19
수원여자대학교입구,230
부천역남부.부천남초교,4
반도1차.경남,187
우남퍼스트빌.자이,150
DM디스플레이,142
송곡리,61
광산,3
정자사거리,93
운중동주민센터,63
회덕동정자나무,21
아튼빌후문.성남테크노과학고,30
포곡읍주민자치센터,8
칠보마을7단지,25
롯데캐슬스카이.백남준아트센터,334
서탄입구,92
평내중흥.삼창.상록아파트,2
동일하이빌.상봉초등학교,107
입북동입구,39
남수동,132
수면리,28
봉담택지지구,17
대광빌리지,126
공군관사,161
안화고등학교,68
대황교.활주로,48
효성아파트후문,91
광교체육센터.다산중학교,149
가능역,1
오성면사무소앞,7
인성마을.현대아파트,27
합동신학대학원,26
신미주아파트,164
동원동,73
도촌동1단지앞,171
원일초교.성일아파트,383
흥덕중학교앞,121
서부공영차고지,54
철산역.광명경찰서,13
안녕3통입구,81
광교호수공원.제2주차장,133
두리봉마을,17
서정리역,35
차량등록사업소,3
괘랑2리.차운혁충신정려문,158
한강CM,16
나산초등학교,96
문학리,48
광교사회복지관,79
잔다리마을.이영미술관,153
귀래산업단지,7
파장초등학교.SKC,24
성결대학.안양아트센터.명학역,7
곡반정동차고지,300
공세성원상떼레이크뷰,65
경희대정문,116
쌍학리,3
도촌동화훼단지,3
성복동주민센터.LG6차.벽산A,113
성일중고.성일정보고.동광중고,3
금광시장,22
성호시장,4
정자사거리,9
송촌토파즈아파트,2
의왕톨게이트,187
신월초교.상록아파트.주공9단지.공무원아파트,260
법화터널출구(경유),1
상록마을,351
농협.홈플러스,56
보정동주민센터,71
분당도서관.계원예고.계원예술학교,99
오일리,9
영성중학교.하대원동주민센터,21
신흥시장입구,2
은행동현대아파트,21
함상전망대,7
동명아파트앞,47
군자시장,9
상현교차로.현대2차,340
죽전도서관앞,20
성남아트센터.태원고교,238
먹자거리,50
